chunk_id,source_id,title,collection,use_mode,risk_scope,population_tags,topic_tags,language,review_status,char_count,content_preview,review_decision,review_comment
CCI_DISORDERED_EATING_f2025faa_00001_bf42f4143588,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,241,What Keeps Eating Disorders Going?  Introduction 2 What Keeps Eating Disorders Going? 2 How it All Fits Together: The Vicious Cycle of Eating Disorders  Where to From Here? 7 Why You Can’t Recover While Trying to Lose Weight 7 Module Summar,,
CCI_DISORDERED_EATING_f2025faa_00002_55b63738d8c5,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,579,This information provided in this document is for information purposes only. Please refer to the full disclaimer and copyright statements available at www.cci.health.wa.gov.au regarding the information on this website before making use of s,,
CCI_DISORDERED_EATING_f2025faa_00003_4c006ed536ad,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,44,Module 2: What Keeps Eating Disorders Going?,,
CCI_DISORDERED_EATING_f2025faa_00004_0171848fb717,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,490,"In Module 1, we discussed symptoms of eating disorders and highlighted why it is important to see a medical practitioner. You consider ed how concerns about eating disorder behaviours impact your physical and mental health, relationships, a",,
CCI_DISORDERED_EATING_f2025faa_00005_6d3e103c6720,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,466,"People often come to treatment and blame themselves for not being able to get out of the eating disorder on their own. They might be self -critical and think of themselves as undisciplined or weak, or believe that they’re just not working h",,
CCI_DISORDERED_EATING_f2025faa_00006_19be88b94638,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,470,"1. Unhelpful beliefs about eating, weight and shape (and their control)  It is common for people to hold very strong beliefs about the relationship between their eating disorder behaviours and their weight or shape. Some beliefs might inclu",,
CCI_DISORDERED_EATING_f2025faa_00007_91cb72205021,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,668,"Eating disorders also provide a rich breeding ground to align our beliefs and values to that lead people to believe that behaviours like restriction, exercise, or dieting reflect achievement, health, hard work, or even moral or ethical supe",,
CCI_DISORDERED_EATING_f2025faa_00008_74d8a3d0e939,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,498,"2. Unhelpful behaviours related to eating, weight and shape  Eating disorders always involve disordered eating behaviours.  You might be eating too little, following rigid and inflexible rules about what and when to eat, exercising too much",,
CCI_DISORDERED_EATING_f2025faa_00009_4c006ed536ad,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,44,Module 2: What Keeps Eating Disorders Going?,,
CCI_DISORDERED_EATING_f2025faa_00010_aab7a812afb6,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,255,"Regardless of how you are attempting to control your weight and shape, if your nutritional intake is poor, irregular, or unbalanced, or if you engage in behaviours that reduce energy absorption, you are likely experiencing symptoms of Starv",,
